ori,des,demand
104,90,0.0268
105,90,0.0536
106,90,0.268
109,90,0.0536
112,90,0.0268
116,90,0.0268
118,90,0.1876
131,90,0.1876
132,90,0.0536
133,90,0.0804
134,90,0.1608
138,90,0.0536
140,90,0.0268
148,90,0.2948
151,90,0.1072
153,90,0.0268
155,90,0.0536
303,90,0.0804
310,90,0.0268
320,90,0.0536
327,90,0.0268
350,90,0.0268
358,90,0.0268
359,90,0.0536
366,90,0.0268
367,90,0.0268
387,90,0.0268
388,90,0.0268
390,90,0.0804
397,90,0.0536
414,90,0.0268
415,90,0.0536
418,90,0.1608
425,90,0.0268
426,90,0.0268
430,90,0.0536
432,90,0.0804
438,90,0.0268
439,90,0.0536
440,90,0.0268
446,90,0.0268
455,90,0.0268
472,90,0.0268
476,90,0.0268
491,90,0.0268
507,90,0.0268
558,90,0.0268
566,90,0.0268
582,90,0.0536
586,90,0.0268
595,90,0.0268
624,90,0.0804
635,90,0.0268
660,90,0.0268
103,91,0.0268
104,91,0.134
106,91,0.0268
108,91,0.0536
110,91,0.0536
111,91,0.0804
112,91,0.0804
113,91,0.0536
114,91,0.0268
115,91,0.0268
118,91,0.1072
119,91,0.0268
123,91,0.0268
127,91,0.0268
129,91,0.0536
130,91,0.0268
131,91,0.1876
140,91,0.0804
149,91,0.0536
150,91,0.0536
151,91,0.1608
153,91,0.0536
154,91,0.0268
155,91,0.0268
301,91,0.0536
303,91,0.0268
305,91,0.0268
312,91,0.0268
322,91,0.0268
341,91,0.0268
342,91,0.0268
350,91,0.134
360,91,0.0268
364,91,0.0268
365,91,0.0536
366,91,0.1072
375,91,0.0268
397,91,0.0268
400,91,0.1876
408,91,0.0268
410,91,0.0536
414,91,0.0536
416,91,0.0268
418,91,0.3216
423,91,0.0268
424,91,0.0268
426,91,0.0536
430,91,0.0268
431,91,0.0268
435,91,0.0268
439,91,0.1608
440,91,0.0804
441,91,0.0268
451,91,0.0268
455,91,0.0536
456,91,0.0804
460,91,0.0268
461,91,0.1072
467,91,0.0268
472,91,0.0268
473,91,0.0536
477,91,0.0268
490,91,0.0268
502,91,0.0268
504,91,0.0536
558,91,0.0268
569,91,0.0268
584,91,0.0268
587,91,0.0268
596,91,0.0268
660,91,0.0536
661,91,0.0268
103,92,0.0804
104,92,0.1072
105,92,0.1876
106,92,0.3484
108,92,0.2144
109,92,0.2144
110,92,0.3752
111,92,0.134
112,92,0.134
113,92,0.0268
114,92,0.0804
116,92,0.1608
117,92,0.0268
118,92,0.2948
119,92,0.1072
120,92,0.0804
121,92,0.0268
122,92,0.0536
123,92,0.0804
125,92,0.0268
126,92,0.0804
127,92,0.134
130,92,0.134
131,92,0.402
133,92,0.0536
134,92,0.134
136,92,0.1072
138,92,0.0804
139,92,0.0536
140,92,0.1876
141,92,0.0804
142,92,0.1072
148,92,0.0268
149,92,0.0268
150,92,0.0804
151,92,0.1608
152,92,0.0536
154,92,0.0804
155,92,0.0804
301,92,0.0268
303,92,0.0536
306,92,0.0268
307,92,0.0268
310,92,0.0268
312,92,0.1608
320,92,0.0804
322,92,0.1608
323,92,0.0268
334,92,0.0268
341,92,0.0268
342,92,0.0268
347,92,0.0804
350,92,0.1876
351,92,0.0268
359,92,0.0268
360,92,0.1072
365,92,0.1072
366,92,0.0536
375,92,0.134
379,92,0.0268
387,92,0.0268
390,92,0.1072
396,92,0.0268
400,92,0.134
408,92,0.0804
410,92,0.0536
411,92,0.0268
412,92,0.0804
414,92,0.0536
416,92,0.0268
418,92,0.67
423,92,0.0804
424,92,0.0268
425,92,0.0268
429,92,0.0268
430,92,0.134
431,92,0.0804
432,92,0.1608
436,92,0.134
438,92,0.1072
439,92,0.3484
440,92,0.3216
441,92,0.0536
446,92,0.0268
448,92,0.0536
450,92,0.0804
452,92,0.0268
455,92,0.1072
456,92,0.0268
460,92,0.0536
467,92,0.0268
472,92,0.0536
473,92,0.0268
474,92,0.0268
476,92,0.0268
477,92,0.0268
490,92,0.0536
493,92,0.0268
507,92,0.0268
511,92,0.0268
534,92,0.0268
547,92,0.0268
565,92,0.0536
566,92,0.0268
569,92,0.0536
582,92,0.0536
587,92,0.0268
595,92,0.0268
596,92,0.0536
625,92,0.0268
630,92,0.0268
634,92,0.0268
635,92,0.0268
660,92,0.0268
661,92,0.0268
91,103,0.0536
92,103,0.0804
106,103,0.3216
110,103,0.0268
111,103,0.0804
112,103,0.0804
113,103,0.0268
114,103,0.0268
116,103,0.0536
119,103,0.0268
122,103,0.0536
126,103,0.0268
127,103,0.0268
128,103,0.0268
130,103,0.0268
131,103,0.0268
134,103,0.0268
136,103,0.0268
138,103,0.0268
140,103,0.0536
149,103,0.0536
150,103,0.0536
